a ai
e \
o qi
n ni
en il
jo uoq
ko zz
la ;
li /
ma qn
mi iq
mu wt
ni ib
pi '
pu cqu
tu ii
ku dcpb
ala x
ale qq
anu yi
ijo dq
ike uk
ilo vi iv
jan qky qyk ykq
ken iy
kon gg
len vh
lon sl
mun uu
ona lq
pan ddb
sin lfi
tan kbu
uta lu
wan bi
kin i*
oko bz
anpa rks
ante bb
awen lb
esun dz
insa rs
jaki zb
jelo jq
kala tu
kama klb
kasi iaa
kili qg
kule dj
kute ksu
lape olq
laso kia
lawa ql
lete *
lili db
lipu dc
loje klu
luka dm
lupa ku
mama aq
mani qy
meli uq
mije qkby
moku mul
moli qxx
musi quq
mute ei
nasa zpq
nena du
nimi dv
noka ovv
olin bubu
open rl
pali mq
pana mw
pini kli dlil
pipi tel
poka krs
poki dr
pona kq
sama ll =
seli sw
selo hi hpi
seme ?
sewi skr
sike pq
sina ikq
sona cw
suli idb
suno qpn
supa lpii
suwi dkbb
taso li
tawa dklb
telo eg
toki qw
tomo kcb
unpa aaa
walo jy
waso tb
wawa dyq
weka px
wile rpz
leko cc
soko ulpv
meso lsl
pake kil
powe lx
akesi ta
alasa iubb
kiwen cb
linja dg
lukin as
monsi osr
nanpa #
nasin dib
pilin ub
tenpo q\
utala bx
tonsi yqi
epiku wku
apeja beq
kalama wlu
kulupu eq
pakala cpb
palisa dpv
pimeja jx
sijelo dh
sinpin ors
soweli tt
namako lffi
kipisi % sis
jasima i=u
lanpan mkw
majuna lfki
kepeken miv
sitelen ces css
monsuta eb
kokosila wql
misikeke pvl
kijetesantakalu td
